Title	URL	Year	Author	Resource Type	Venue
Lecture 11: Image Retrieval	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec11_retrieval.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 3: SIFT, Cameras	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec03_cameras.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 0: Introduction	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec00_introduction.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Matching and Fitting	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_09_hough.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Color	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_07_color.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Human Pose and Actions	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_27_pose_actions.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Epipolar Geometry and Stereo Vision	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_12_stereo.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Midterm Review	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_13_review.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Support Vector Machines	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_17_svms.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Unsupervised Learning	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_24b_unsupervised.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Introduction	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_01_intro.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Human Factors: Crowdsourcing Labels + Gaze/ Saliency	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_23_human.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Detection III: Analyzing and Debugging Detection Methods	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_22_detection_failures.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Local Image Features: Extraction and Description	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_06_features.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Matlab Tutorial	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_02_matlab_hw1.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Intro to Machine Learning & Visual Recognition - Part II	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_16_ml_recognition_intro_part2.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Detection II: Deformable Part Models	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_21_dpms.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Introduction to Machine Learning & Visual Recognition - Part I	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_15_ml_recognition_intro_part1.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Edges and Binary Images	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_05_edges.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Feature Matching + Indexing and Retrieval	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_10_matching_retrieval.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Segmentation and Grouping	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_08_segmentation.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Detection I: Faces	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_20_faces.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Seam Carving for Content-Aware Image Resizing	people.cs.pitt.edu/~kovashka/cs1699_fa15/avidan.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Projective Transformations + Image Stitching	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_11_homographies.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Texture and Other Uses of Filters	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_04_texture_pyramids.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Tracking	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_26_tracking.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Active Learning	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_24_active.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Filters and Texture	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_03_filters_texture.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Bias-Variance Trade-off + Other Models and Problems	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_18_overfitting_other.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Interactive Image Search with Attributes	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_19_search_attributes.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Deep Learning	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_25_deep_learning.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Final Review	people.cs.pitt.edu/~kovashka/cs1699_fa15/vision_28_final_review.pdf	2015	Adriana Kovashka	lecture	University of Pittsburgh
Lecture 15: Epipolar Geometry	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_15.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 16: Homography	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_16.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 3: Interest Points	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_3.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 4: Point Descriptors	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_4.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 13: Epipolar Geometry	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_13.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 17: Edges, Shapes, Contours, Curves, Boundaries	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_17.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 8: Stereo	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_8.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 5: MATLAB Practice Session I	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_5.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 2: Basic Matlab Commands	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_2.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 7: Matching	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_7.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 21: Meanshift	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_21.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 10: Deep Convolutional Neural Networks	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_10.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 6: Interest Point Matching	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_6.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 14: Three Stereo Problems	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_14.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 18: Color	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_18.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 1: Introduction	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_1.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 12: Perspective projection	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_12.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 11: Image Formation	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/lectures/CS556_11.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Local Invariant Features: What? Why? When? How?	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/literature/FeaturesTutorial_ECCV06.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Mean Shift: A Robust Approach Toward Feature Space Analysis	web.engr.oregonstate.edu/~sinisa/courses/OSU/CS556/literature/Meanshift.pdf	2016	Sinisa Todorovic	lecture	Oregon State University
Lecture 15: Weight Initialization, Momentum and Learning Rates	euler.stat.yale.edu/~tba3/stat665/lectures/lec15/lecture15.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 22: Theory, Depth, Representation, Future	euler.stat.yale.edu/~tba3/stat665/lectures/lec22/lecture22.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 02: Linear Classification methods I	euler.stat.yale.edu/~tba3/stat665/lectures/lec02/lecture02.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 11: Support Vector Machines III	euler.stat.yale.edu/~tba3/stat665/lectures/lec11/lecture11.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 16: Neural Network Software	euler.stat.yale.edu/~tba3/stat665/lectures/lec16/lecture16.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 18: Transfer Learning and Computer Vision	euler.stat.yale.edu/~tba3/stat665/lectures/lec18/lecture18.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 03: Linear Classification methods II	euler.stat.yale.edu/~tba3/stat665/lectures/lec03/lecture03.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 05: Additive Models	euler.stat.yale.edu/~tba3/stat665/lectures/lec05/lecture05.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 08: Decision Trees II	euler.stat.yale.edu/~tba3/stat665/lectures/lec08/lecture08.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 10: Support Vector Machines II	euler.stat.yale.edu/~tba3/stat665/lectures/lec10/lecture10.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 09: Linear Classification Models and Support Vector Machines	euler.stat.yale.edu/~tba3/stat665/lectures/lec09/lecture09.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 13: Back-propagation	euler.stat.yale.edu/~tba3/stat665/lectures/lec13/lecture13.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 20: Word Vector Embeddings	euler.stat.yale.edu/~tba3/stat665/lectures/lec20/lecture20.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 17: Convolutional Neural Networks	euler.stat.yale.edu/~tba3/stat665/lectures/lec17/lecture17.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 04: Least squares and classification	euler.stat.yale.edu/~tba3/stat665/lectures/lec04/lecture04.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 07: Dimensonality Reduction with PCA	euler.stat.yale.edu/~tba3/stat665/lectures/lec07/lecture07.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 13: Recurrent Neural Networks	euler.stat.yale.edu/~tba3/stat665/lectures/lec21/lecture21.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 06: Decision Trees I	euler.stat.yale.edu/~tba3/stat665/lectures/lec06/lecture06.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 12: Introduction to Neural Networks	euler.stat.yale.edu/~tba3/stat665/lectures/lec12/lecture12.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 01: Course Overview	euler.stat.yale.edu/~tba3/stat665/lectures/lec01/lecture01.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 14: Cost Functions and Regularization	euler.stat.yale.edu/~tba3/stat665/lectures/lec14/lecture14.pdf	2016	Taylor B. Arnold	lecture	Yale University
Lecture 19: Computer Vision I	euler.stat.yale.edu/~tba3/stat665/lectures/lec19/lecture19.pdf	2016	Taylor B. Arnold	lecture	Yale University
Binocular Stereopsis	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/12.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Markov Random FIelds in Vision	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/14.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Various camera configurations	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/13.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/10.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Deformable Part Models (DPM)	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/11.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Radiometry of Image Formation	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/5.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Fundamentals of Image Formation	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/2.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Visual Grouping: Contours and Regions in Natural Images	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/9.pdf	2015	Jitendra Malik	lecture	UC Berkeley
A quick tour of differential geometry	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/20.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Measuring Optical Flow	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/16.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Detection, Segmentation and Fine-grained Localization	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/18.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Estimate pose and locating keypoints	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/19.pdf	2015	Jitendra Malik	lecture	UC Berkeley
On Face Recognition	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/23.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Three-Dimensional Perception from a Single Image	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/22.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Dynamic Perspective	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/4.pdf	2015	Jitendra Malik	lecture	UC Berkeley
The Three R's of Computer Vision: Recognition, Reconstruction & Reorganization	http://www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/1.pdf	2015	Jitendra Malik	lecture	UC Berkeley
On Transformations	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/3.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Human vision	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/7.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Action Recognition	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/17.pdf	2015	Jitendra Malik	lecture	UC Berkeley
Scene Understanding from RGB-D Images	www-inst.eecs.berkeley.edu/~cs280/sp15/lectures/21.pdf	2015	Jitendra Malik	lecture	UC Berkeley
MATLAB Tutorial	www.cs.rutgers.edu/~elgammal/classes/cs534/MATLAB_tutorial.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Appearance-based vision	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/appearance-based-vision.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Calibration	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/Calibration.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Vision In Humans	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/VisionInHumans.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Cameras	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/Cameras.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Object Recognition	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/ObjectRecognition.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Texture	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/Texture.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Edges	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/Edges.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
Camera Geometry	www.cs.rutgers.edu/~elgammal/classes/cs534/lectures/CameraGeometry.pdf	2015	Ahmed Elgammal	lecture	Rutgers University
