ID	Name	URL	Year	Author	Domain	Venue
16	Introduction	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week1.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
17	Adversarial Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week4.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
18	Logistic Regression	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week9_combo.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
19	Problem Solving:Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week3.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
20	Intelligent Agent (continued)	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week2.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
21	Linear Models	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week7.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
22	First Order Logic	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week13_FOL.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
23	SVM	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week10_svms.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
24	A* optimality Local Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week5_combo.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
25	Logical Agents	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week12_propositional_logic.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
26	Tree classifiers	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week9_trees.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
27	Unsupervised learning	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week11_combo.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
28	Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_11.pdf	2016	George Konidaris	ai	Duke
29	First-Order Logic	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_6.pdf	2016	George Konidaris	ai	Duke
30	Machine Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_14.pdf	2016	George Konidaris	ai	Duke
31	Uncertainty	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_7.pdf	2016	George Konidaris	ai	Duke
32	Unsupervised Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_16.pdf	2016	George Konidaris	ai	Duke
33	Introduction to Artificial Intelligence	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_1.pdf	2016	George Konidaris	ai	Duke
34	Informed Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_3.pdf	2016	George Konidaris	ai	Duke
35	Hidden Markov Models	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_10.pdf	2016	George Konidaris	ai	Duke
36	Game Theory	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/game_theory.pdf	2016	George Konidaris	ai	Duke
37	Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_2.pdf	2016	George Konidaris	ai	Duke
38	Philosophical, Social, and Ethical Issues	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_18.pdf	2016	George Konidaris	ai	Duke
39	Bayesian Networks II	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_9.pdf	2016	George Konidaris	ai	Duke
40	Robot Motion Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_13.pdf	2016	George Konidaris	ai	Duke
41	Adversarial Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_4.pdf	2016	George Konidaris	ai	Duke
42	Computing Game-Theoretic Solutions for Security	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/conitzer_guest_lecture.pdf	2016	George Konidaris	ai	Duke
43	Python	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/python-static.pdf	2016	George Konidaris	ai	Duke
44	Probabilistic Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_12.pdf	2016	George Konidaris	ai	Duke
45	Machine Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_15.pdf	2016	George Konidaris	ai	Duke
46	Knowledge Representation and Reasoning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_5.pdf	2016	George Konidaris	ai	Duke
47	Bayesian Networks	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_8.pdf	2016	George Konidaris	ai	Duke
48	A*: Proof of Optimality	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/astar.pdf	2016	George Konidaris	ai	Duke
49	Reinforcement Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_17.pdf	2016	George Konidaris	ai	Duke
50	Markov Decision Processes	http://ai.berkeley.edu/slides/Lecture%208%20--%20MDPs%20I/SP14%20CS188%20Lecture%208%20--%20MDPs%20I.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
51	Advanced Applications: Computer Vision and Robotics *	http://ai.berkeley.edu/slides/Lecture%2025%20--%20Advanced%20Applications%20(Computer%20Vision,%20Robotics)/SP14%20CS188%20Lecture%2025%20--%20Advanced%20Applications%20(Computer%20Vision%20and%20Robotics).pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
52	Kernels and Clustering	http://ai.berkeley.edu/slides/Lecture%2023%20--%20Kernels%20and%20Clustering/SP14%20CS188%20Lecture%2023%20--%20Kernels%20and%20Clustering.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
53	Informed Search	http://ai.berkeley.edu/slides/Lecture%203%20--%20Informed%20Search/SP14%20CS188%20Lecture%203%20--%20Informed%20Search.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
54	Bayes Nets	http://ai.berkeley.edu/slides/Lecture%2016%20--%20Bayes%20Nets%20I%20Representation/SP14%20CS188%20Lecture%2016%20--%20Bayes%20Nets.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
55	Particle Filters and Applications of HMMs	http://ai.berkeley.edu/slides/Lecture%2015%20--%20Particle%20Filters%20and%20Applications%20of%20HMMs/SP14%20CS188%20Lecture%2015%20--%20Particle%20Filters%20and%20Applications%20of%20HMMs.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
56	Constraint Satisfaction Problems II	http://ai.berkeley.edu/slides/Lecture%205%20--%20CSPs%20II/SP14%20CS188%20Lecture%205%20--%20CSPs%20II.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
57	Bayes Nets: Inference	http://ai.berkeley.edu/slides/Lecture%2018%20--%20Bayes%20Nets%20III%20Inference/SP14%20cs188%20Lecture%2018%20--%20Bayes%20Nets%20III%20Inference.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
58	Markov Models	http://ai.berkeley.edu/slides/Lecture%2013%20--%20Markov%20Models/SP14%20CS188%20Lecture%2013%20--%20Markov%20Models.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
59	Perceptrons	http://ai.berkeley.edu/slides/Lecture%2022%20--%20Perceptron/SP14%20CS188%20Lecture%2022%20--%20Perceptron.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
60	Uncertainty and Utilities	http://ai.berkeley.edu/slides/Lecture%207%20--%20Expectimax%20Search%20and%20Utilities/SP14%20CS188%20Lecture%207%20--%20Expectimax%20Search%20and%20Utilities.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
61	Hidden Markov Models	http://ai.berkeley.edu/slides/Lecture%2014%20--%20HMMs/SP14%20CS188%20Lecture%2014%20--%20Hidden%20Markov%20Models.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
62	Bayes Nets: Independence	http://ai.berkeley.edu/slides/Lecture%2017%20--%20Bayes%20Nets%20II%20Independence/SP14%20CS188%20Lecture%2017%20--%20Bayes%20Nets%20II%20Independence.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
63	Decision Networks and Value of Perfect Information	http://ai.berkeley.edu/slides/Lecture%2020%20--%20Decision%20Diagrams%20and%20Value%20of%20Perfect%20Information/SP14%20CS188%20Lecture%2020%20--%20Decision%20Diagrams%20and%20VPI.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
64	Introduction	http://ai.berkeley.edu/slides/Lecture%201%20--%20Introduction/SP14%20CS188%20Lecture%201%20--%20Introduction.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
65	Probability	http://ai.berkeley.edu/slides/Lecture%2012%20--%20Probability/SP14%20CS188%20Lecture%2012%20--%20Probability.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
66	Adversarial Search	http://ai.berkeley.edu/slides/Lecture%206%20--%20Adversarial%20Search/SP14%20CS188%20Lecture%206%20--%20Adversarial%20Search.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
67	CSPs	http://ai.berkeley.edu/slides/Lecture%204%20--%20CSPs%20I/SP14%20CS188%20Lecture%204%20--%20CSPs%20I.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
68	Naive Bayes	http://ai.berkeley.edu/slides/Lecture%2021%20--%20Naive%20Bayes/SP14%20CS188%20Lecture%2021%20--%20Naive%20Bayes.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
69	Reinforcement Learning I	http://ai.berkeley.edu/slides/Lecture%2010%20--%20Reinforcement%20Learning%20I/SP14%20CS188%20Lecture%2010%20--%20Reinforcement%20Learning%20I.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
70	Reinforcement Learning II	http://ai.berkeley.edu/slides/Lecture%2011%20--%20Reinforcement%20Learning%20II/SP14%20CS188%20Lecture%2011%20--%20Reinforcement%20Learning%20II.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
71	Markov Decision Processes II	http://ai.berkeley.edu/slides/Lecture%209%20--%20MDPs%20II/SP14%20CS188%20Lecture%209%20--%20MDPs%20II.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
72	Bayes Nets: Sampling	http://ai.berkeley.edu/slides/Lecture%2019%20--%20Bayes%20Net%20IV%20Sampling/SP14%20CS188%20Lecture%2019%20--%20Bayes%20Nets%20IV%20Sampling.pptx	2014	Dan Klein and Pieter Abbeel	ai	Berkeley
73	Uncertainty	http://pages.cs.wisc.edu/~dyer/cs540/notes/12_uncertainty.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
74	Introduction	http://pages.cs.wisc.edu/~dyer/cs540/notes/01_intro.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
75	Game Playing	http://pages.cs.wisc.edu/~dyer/cs540/notes/06_gamePlaying.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
76	Bayesian Networks	http://pages.cs.wisc.edu/~dyer/cs540/notes/13_bayes-net.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
77	Supervised Learning Methods k-nearest-neighbors(k-NN) Decisiontrees(Chapter18.3) Neuralnetworks(ANN) Supportvectormachines(SVM)	http://pages.cs.wisc.edu/~dyer/cs540/notes/11_learning-decision-trees.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
78	Supervised Learning Methods k-nearest-neighbors (k-NN)  Decision trees  Support vector machines (SVM)  Neural networks	http://pages.cs.wisc.edu/~dyer/cs540/notes/10_svm.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
79	Face Detection and Recognition I	http://pages.cs.wisc.edu/~dyer/cs540/notes/16.0_face-detection.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
80	Introduction	http://pages.cs.wisc.edu/~dyer/cs540/notes/09_neuralNets.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
81	Informed Search	http://pages.cs.wisc.edu/~dyer/cs540/notes/04_informedSearch.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
82	Face Detection and Recognition II	http://pages.cs.wisc.edu/~dyer/cs540/notes/16.1_face-recognition.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
83	Constraint Satisfaction Problems	http://pages.cs.wisc.edu/~dyer/cs540/notes/07_csp.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
84	Speech Recognition	http://pages.cs.wisc.edu/~dyer/cs540/notes/14_speech.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
85	Machine Learning: Introduction and Unsupervised Learning	http://pages.cs.wisc.edu/~dyer/cs540/notes/08_learning-intro.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
86	Genetic Algorithms	http://pages.cs.wisc.edu/~dyer/cs540/notes/05_geneticAlgorithms.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
87	Uninformed Search	http://pages.cs.wisc.edu/~dyer/cs540/notes/03_uninformedSearch.pdf	2018	Chuck Dyer	ai	University of Wisconsin-Madison
88	Invariant Theory	http://ttic.uchicago.edu/~dmcallester/DeepClass18/03CNNs/CNNb.pdf	2017	David McAllester	dl	Chicago
89	Deep Graphical Models III	http://ttic.uchicago.edu/~dmcallester/DeepClass18/09GraphicalModels/DGMs3.pdf	2017	David McAllester	dl	Chicago
90	Variational Autoencoders	http://ttic.uchicago.edu/~dmcallester/DeepClass18/11AutoEncoders/Variational.pdf	2017	David McAllester	dl	Chicago
91	Deep Graphical Models II	http://ttic.uchicago.edu/~dmcallester/DeepClass18/09GraphicalModels/DGMs2.pdf	2017	David McAllester	dl	Chicago
92	Gradients as Dual Vectors	http://ttic.uchicago.edu/~dmcallester/DeepClass18/13SGD2/loose.pdf	2017	David McAllester	dl	Chicago
93	Gated RNNs	http://ttic.uchicago.edu/~dmcallester/DeepClass18/04Highway/highway.pdf	2017	David McAllester	dl	Chicago
94	Introduction and Historical Notes	http://ttic.uchicago.edu/~dmcallester/DeepClass18/01intro/intro.pdf	2017	David McAllester	dl	Chicago
95	Language Modeling	http://ttic.uchicago.edu/~dmcallester/DeepClass18/05RNNs/RNN.pdf	2017	David McAllester	dl	Chicago
96	Information Theory	http://ttic.uchicago.edu/~dmcallester/DeepClass18/08InfoTheory/information.pdf	2017	David McAllester	dl	Chicago
97	Rate-Distortion Autoencoders	http://ttic.uchicago.edu/~dmcallester/DeepClass18/11AutoEncoders/Rate.pdf	2017	David McAllester	dl	Chicago
98	Multiclass Logistic Regression	http://ttic.uchicago.edu/~dmcallester/DeepClass18/02MLP/MLPa.pdf	2017	David McAllester	dl	Chicago
99	Stochastic Gradient Descent	http://ttic.uchicago.edu/~dmcallester/DeepClass18/06SGD/SGD.pdf	2017	David McAllester	dl	Chicago
100	AlphaZero	http://ttic.uchicago.edu/~dmcallester/DeepClass18/16alpha/alphago.pdf	2017	David McAllester	dl	Chicago
101	Computation Graphs and Backpropagation	http://ttic.uchicago.edu/~dmcallester/DeepClass18/02MLP/MLPb.pdf	2017	David McAllester	dl	Chicago
102	Convolutional Neural Networks - CNNs	http://ttic.uchicago.edu/~dmcallester/DeepClass18/03CNNs/CNNs.pdf	2017	David McAllester	dl	Chicago
103	In Search of AGI	http://ttic.uchicago.edu/~dmcallester/DeepClass18/18AGI/arch.pdf	2017	David McAllester	dl	Chicago
104	Deep Reinforcement Learning	http://ttic.uchicago.edu/~dmcallester/DeepClass18/15RL/RL.pdf	2017	David McAllester	dl	Chicago
105	Regularization	http://ttic.uchicago.edu/~dmcallester/DeepClass18/07regularization/regularization.pdf	2017	David McAllester	dl	Chicago
106	Deep Graphical Models I	http://ttic.uchicago.edu/~dmcallester/DeepClass18/09GraphicalModels/DGMs.pdf	2017	David McAllester	dl	Chicago
107	Generative Adversarial Networks (GANs)	http://ttic.uchicago.edu/~dmcallester/DeepClass18/14GANs/Gans.pdf	2017	David McAllester	dl	Chicago
108	Memory Networks for Language Understanding	http://uvadlc.github.io/lectures/lecture11-jasonweston.pdf	2018	Efstratios Gavves	dl	GitHub
109	Deep Learning on Graph-Structured Data	http://uvadlc.github.io/lectures/lecture10.pdf	2018	Efstratios Gavves	dl	GitHub
110	Exotic Deep Learning	http://uvadlc.github.io/lectures/lecture14.pdf	2018	Efstratios Gavves	dl	GitHub
111	Learning with neural networks	http://uvadlc.github.io/lectures/lecture2.pdf	2018	Efstratios Gavves	dl	GitHub
112	Unsupervised, Generative & Adversarial Networks	http://uvadlc.github.io/lectures/lecture9.pdf	2018	Efstratios Gavves	dl	GitHub
113	Deeper into Deep Learning and Optimizations	http://uvadlc.github.io/lectures/lecture3.pdf	2018	Efstratios Gavves	dl	GitHub
114	Understanding Convnets and Knowledge Transfer	http://uvadlc.github.io/lectures/lecture5.pdf	2018	Efstratios Gavves	dl	GitHub
115	Recurrent Neural Networks	http://uvadlc.github.io/lectures/lecture8.pdf	2018	Efstratios Gavves	dl	GitHub
116	Deep Learning & HPC	http://uvadlc.github.io/lectures/surfsara-slides.pdf	2018	Efstratios Gavves	dl	GitHub
117	Structured Prediction with ConvNets	http://uvadlc.github.io/lectures/lecture6.pdf	2018	Efstratios Gavves	dl	GitHub
118	Introduction to Neural Networks and Deep Learning	http://uvadlc.github.io/lectures/lecture1.pdf	2018	Efstratios Gavves	dl	GitHub
119	Deep Learning Language Models and Word Embeddings	http://uvadlc.github.io/lectures/lecture7-christofmonz.pdf	2018	Efstratios Gavves	dl	GitHub
120	Convolutional Neural Networks for Computer Vision	http://uvadlc.github.io/lectures/lecture4.pdf	2018	Efstratios Gavves	dl	GitHub
121	NLP Resources	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/133.pptx	2018	Dragomir Radev	nlp	Yale
122	Syntax-based Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/455.pptx	2018	Dragomir Radev	nlp	Yale
123	Tools for Deep Learning	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/731.pptx	2018	Dragomir Radev	nlp	Yale
124	Python Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/131.pptx	2018	Dragomir Radev	nlp	Yale
125	Social Network Extraction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/976.pptx	2018	Dragomir Radev	nlp	Yale
126	Clustering 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/571.pptx	2018	Dragomir Radev	nlp	Yale
127	Prepositional Phrase Attachment 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/283.pptx	2018	Dragomir Radev	nlp	Yale
128	Long Short Term Memory Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/742.pptx	2018	Dragomir Radev	nlp	Yale
129	Class Logistics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/111.pptx	2018	Dragomir Radev	nlp	Yale
130	Smoothing and Interpolation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/212.pptx	2018	Dragomir Radev	nlp	Yale
131	Wordnet	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/315.pptx	2018	Dragomir Radev	nlp	Yale
132	Question Answering Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/411.pptx	2018	Dragomir Radev	nlp	Yale
133	Examples of Text Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/542.pptx	2018	Dragomir Radev	nlp	Yale
134	Features and Unification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/262.pptx	2018	Dragomir Radev	nlp	Yale
135	Morphology and Semantics in Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/457.pptx	2018	Dragomir Radev	nlp	Yale
136	Sentence Simplification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/426.pptx	2018	Dragomir Radev	nlp	Yale
137	Introduction to Hidden Markov Models	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/221.pptx	2018	Dragomir Radev	nlp	Yale
138	Semi Supervised Retrieval, Pagerank	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/624.pptx	2018	Dragomir Radev	ir	Yale
139	Machine Translation Techniques	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/452.pptx	2018	Dragomir Radev	nlp	Yale
140	Discourse Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/443.pptx	2018	Dragomir Radev	nlp	Yale
141	Regular Expressions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/161.pptx	2018	Dragomir Radev	nlp	Yale
142	Neural Question Answering	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/755.pptx	2018	Dragomir Radev	nlp	Yale
143	QA Architecture and QA Systems 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/413.pptx	2018	Dragomir Radev	nlp	Yale
144	Noisy Channel Methods for Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/453.pptx	2018	Dragomir Radev	nlp	Yale
145	Linguistics Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/141.pptx	2018	Dragomir Radev	nlp	Yale
146	Semantic Similarity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/314.pptx	2018	Dragomir Radev	nlp	Yale
147	Text Kernels	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/342.pptx	2018	Dragomir Radev	nlp	Yale
148	Finite State Transducers	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/163.pptx	2018	Dragomir Radev	nlp	Yale
149	Natural Language Generation Systems	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/432.pptx	2018	Dragomir Radev	nlp	Yale
150	NLP Tasks 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/151.pptx	2018	Dragomir Radev	nlp	Yale
151	Coherence and Prosody	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/442.pptx	2018	Dragomir Radev	nlp	Yale
152	Word Distributions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/144.pptx	2018	Dragomir Radev	nlp	Yale
153	Search Engine Architecture	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/612.pptx	2018	Dragomir Radev	ir	Yale
154	Parsing Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/247.pptx	2018	Dragomir Radev	nlp	Yale
155	Recursive Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/743.pptx	2018	Dragomir Radev	nlp	Yale
156	Evaluation of Language Modeling	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/213.pptx	2018	Dragomir Radev	nlp	Yale
157	Phrase Based Machine Translation, Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/456.pptx	2018	Dragomir Radev	nlp	Yale
158	Summarization Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/425.pptx	2018	Dragomir Radev	nlp	Yale
159	Practical Considerations of Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/545.pptx	2018	Dragomir Radev	nlp	Yale
160	Sentiment Analysis	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/381.pptx	2018	Dragomir Radev	nlp	Yale
161	Bayes Theorem	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/125.pptx	2018	Dragomir Radev	nlp	Yale
162	Query Modification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/622.pptx	2018	Dragomir Radev	ir	Yale
163	Evaluation of Question Answering	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/412.pptx	2018	Dragomir Radev	nlp	Yale
164	QA Architecture and QA Systems 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/414.pptx	2018	Dragomir Radev	nlp	Yale
165	Morphology and Lexicon	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/143.pptx	2018	Dragomir Radev	nlp	Yale
166	Introduction to Language Modeling	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/211.pptx	2018	Dragomir Radev	nlp	Yale
167	Probabilities 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/124.pptx	2018	Dragomir Radev	nlp	Yale
168	Summarization 4	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/424.pptx	2018	Dragomir Radev	nlp	Yale
169	Lexicalized Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/253.pptx	2018	Dragomir Radev	nlp	Yale
170	Edit Distance	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/313.pptx	2018	Dragomir Radev	nlp	Yale
171	Neural Architectures, Training Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/712.pptx	2018	Dragomir Radev	nlp	Yale
172	Prepositional Phrase Attachment 3	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/284.pptx	2018	Dragomir Radev	nlp	Yale
173	Natural Language Generation Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/431.pptx	2018	Dragomir Radev	nlp	Yale
174	Introduction to Dimensionality Reduction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/341.pptx	2018	Dragomir Radev	nlp	Yale
175	Language and Complexity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/166.pptx	2018	Dragomir Radev	nlp	Yale
176	Stemming	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/312.pptx	2018	Dragomir Radev	nlp	Yale
177	Machine Translation Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/451.pptx	2018	Dragomir Radev	nlp	Yale
178	Neural Summarization	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/754.pptx	2018	Dragomir Radev	nlp	Yale
179	Dialogue Systems	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/445.pptx	2018	Dragomir Radev	nlp	Yale
180	Dialogue	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/444.pptx	2018	Dragomir Radev	nlp	Yale
181	Entailment and Paraphrasing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/351.pptx	2018	Dragomir Radev	nlp	Yale
