ID	Title	URL	Topic	Year	Instructor	Path	Venue
36	PCFG	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation6_slides.pptx	1201	2017	Akshay Srivatsan	./11711fa17/recitation6_slides.pptx	Carnegie Mellon University
37	Algorithms for NLP: Recitation notes on coarse-to-fine	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation8_notes_coarse_to_fine.pdf	1201	2017	Maria Ryskina	./11711fa17/recitation8_notes_coarse_to_fine.pdf	Carnegie Mellon University
38	Lang in 10: Hindi	http://demo.clab.cs.cmu.edu/11737fa20/slides/Hindi_in_10.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/Hindi_in_10.pdf	Carnegie Mellon University
39	Speech, Code Switching and Annotation	http://demo.clab.cs.cmu.edu/11737fa20/slides/Intro_Speech_CS.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/Intro_Speech_CS.pdf	Carnegie Mellon University
40	Multilingual Natural Language Processing: Intro Linguistics	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-01-intro-linguistics.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-01-intro-linguistics.pdf	Carnegie Mellon University
41	Multilingual Natural Language Processing: Course Introduction	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-01-intro.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-01-intro.pdf	Carnegie Mellon University
42	Typology: The Space of Languages	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-02-typology.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-02-typology.pdf	Carnegie Mellon University
43	Words, Parts of Speech, Morphology	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-03-words.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-03-words.pdf	Carnegie Mellon University
44	Sequence Labeling/Classification 1	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-04-seqlabeling.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-04-seqlabeling.pdf	Carnegie Mellon University
45	Sequence Labeling/Classification 2	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-05-seqlabelingadv.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-05-seqlabelingadv.pdf	Carnegie Mellon University
46	Translation and Translation Data	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-06-translation.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-06-translation.pdf	Carnegie Mellon University
47	Translation Models 1	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-07-mtmodels.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-07-mtmodels.pdf	Carnegie Mellon University
48	Translation Models 2	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-08-mtaugmentation.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-08-mtaugmentation.pdf	Carnegie Mellon University
49	Language Contact and Similarity Across Languages	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-09-languagecontact.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-09-languagecontact.pdf	Carnegie Mellon University
50	Unsupervised Translation	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-11-unsupervisedmt.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multiling-11-unsupervisedmt.pdf	Carnegie Mellon University
51	Code Switching, Pidgins & Creoles	http://demo.clab.cs.cmu.edu/11737fa20/slides/multilingual-11-codeswitching.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multilingual-11-codeswitching.pdf	Carnegie Mellon University
52	Speech	http://demo.clab.cs.cmu.edu/11737fa20/slides/multilingual-12-speech.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multilingual-12-speech.pdf	Carnegie Mellon University
58	Multilingual Training and Cross-lingual Transfer	http://demo.clab.cs.cmu.edu/11737fa20/slides/multiling-10-multilingual_training.pdf	1201	2020	Yulia Tsvetkov, Graham Neubig, Alan Black	./11737fa20/slides/multilingual_training.pdf	Carnegie Mellon University
59	Neural Network for NLP	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/10.pdf	1201	2016	Kevin Gimpel	./31190/lectures/10.pdf	Toyota Technological Institute at Chicago
60	Recurrent and Convolutional Neural Networks in NLP	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/11.pdf	1201	2016	Kevin Gimpel	./31190/lectures/11.pdf	Toyota Technological Institute at Chicago
61	Syntax and Parsing	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/12.pdf	1201	2016	Kevin Gimpel	./31190/lectures/12.pdf	Toyota Technological Institute at Chicago
62	Finish Syntax/Parsing, Review for Midterm	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/13.pdf	1201	2016	Kevin Gimpel	./31190/lectures/13.pdf	Toyota Technological Institute at Chicago
63	Computational Semantics	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/14.pdf	1201	2016	Kevin Gimpel	./31190/lectures/14.pdf	Toyota Technological Institute at Chicago
64	Introduction to Machine Translation	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/15.pdf	1201	2016	Kevin Gimpel	./31190/lectures/15.pdf	Toyota Technological Institute at Chicago
65	Machine Translation and Other NLP Applications	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/16.pdf	1201	2016	Kevin Gimpel	./31190/lectures/16.pdf	Toyota Technological Institute at Chicago
66	Natural Language Processing: Introduction	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/1.pdf	1201	2016	Kevin Gimpel	./31190/lectures/1.pdf	Toyota Technological Institute at Chicago
67	Text Classification	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/2.pdf	1201	2016	Kevin Gimpel	./31190/lectures/2.pdf	Toyota Technological Institute at Chicago
68	Finish Classification, Start Words	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/3.pdf	1201	2016	Kevin Gimpel	./31190/lectures/3.pdf	Toyota Technological Institute at Chicago
69	Lexical Semantics	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/4.pdf	1201	2016	Kevin Gimpel	./31190/lectures/4.pdf	Toyota Technological Institute at Chicago
70	Word Vectors	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/5.pdf	1201	2016	Kevin Gimpel	./31190/lectures/5.pdf	Toyota Technological Institute at Chicago
71	Language Modeling	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/6.pdf	1201	2016	Kevin Gimpel	./31190/lectures/6.pdf	Toyota Technological Institute at Chicago
72	Sequence Models	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/7.pdf	1201	2016	Kevin Gimpel	./31190/lectures/7.pdf	Toyota Technological Institute at Chicago
73	Inference in Structured Prediction	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/8.pdf	1201	2016	Kevin Gimpel	./31190/lectures/8.pdf	Toyota Technological Institute at Chicago
74	Finish Sequence Models, Start Neural Methods	https://home.ttic.edu/~kgimpel/teaching/31190/lectures/9.pdf	1201	2016	Kevin Gimpel	./31190/lectures/9.pdf	Toyota Technological Institute at Chicago
75	Accelerated Natural Language Processing: Introduction	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp01.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp01.pdf	University of Edinburgh
76	Morphology: Inflection, derivation, FSAs	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp02.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp02.pdf	University of Edinburgh
77	Morphology: Finite State Transducers, edit distance	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp03.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp03.pdf	University of Edinburgh
78	Probability estimation and probabilistic models	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp04.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp04.pdf	University of Edinburgh
79	Language modelling: N-gram models, entropy	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp05.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp05.pdf	University of Edinburgh
80	Language modelling: smoothing	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp06.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp06.pdf	University of Edinburgh
81	Text Categorization: Naive Bayes models and evaluation	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp07.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp07.pdf	University of Edinburgh
82	Part-of-speech Tagging and HMMs	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp08.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp08.pdf	University of Edinburgh
83	Algorithms for HMMs	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp09.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp09.pdf	University of Edinburgh
84	Data, Evaluation, Implications (1): dialect and discrimination	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp10.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp10.pdf	University of Edinburgh
85	Syntax and Context-free grammar, ambiguity	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp11.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp11.pdf	University of Edinburgh
86	English syntax, agreement, parsing	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp12.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp12.pdf	University of Edinburgh
87	Parsing as search: recursive descent and CKY	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp13.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp13.pdf	University of Edinburgh
88	Treebanks and statistical parsing	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp14.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp14.pdf	University of Edinburgh
89	Dependency syntax and parsing	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp15.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp15.pdf	University of Edinburgh
90	Dependency parsing and logistic regression	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp16.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp16.pdf	University of Edinburgh
91	Exam preparation, midesemester feedback	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp_examprep.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp17.pdf	University of Edinburgh
92	Logistic Regression	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp18.pdf	1201	2018	Sharon Goldwater	./anlp-/anlp18.pdf	University of Edinburgh
93	Logistic regression (cont)	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp19.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp19.pdf	University of Edinburgh
94	Lexical semantics 1: Word senses, relations, disambiguation	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp20.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp20.pdf	University of Edinburgh
95	Lexical semantics 2: vector models, co-ocurrence and PMI	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp21.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp21.pdf	University of Edinburgh
96	Lexical semantics 3: tf-idf, dense vectors for word embeddings	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp22.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp22.pdf	University of Edinburgh
97	Data, evaluation, implications (2): use and collection of human data, including social media and assignment 2	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp23.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp23.pdf	University of Edinburgh
98	Data, evaluation, implications (3): evaluation, claims, and evidence	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp24.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp24.pdf	University of Edinburgh
99	Lexical Semantics 2: Questions Answering and Word Sense Disambiguation	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp25.pdf	1201	2012	Johanna Moore	./anlp-/anlp25.pdf	University of Edinburgh
100	Sentence semantics: Meaning Representation	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp26.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp26.pdf	University of Edinburgh
101	Sentence semantics: Syntax/semantics interface	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp27.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp27.pdf	University of Edinburgh
102	Coreference resolution	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp28.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp28.pdf	University of Edinburgh
103	Gender bias (esp in coreference)	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp29.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp29.pdf	University of Edinburgh
104	Notes about correlation	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/anlp_correlation.pdf	1201	2019	Sharon Goldwater	./anlp-/anlp_correlation.pdf	University of Edinburgh
105	Minimum edit distance: worked example	https://www.inf.ed.ac.uk/teaching/courses/anlp/slides/edit_distance-2x2.pdf	1201	2019	Sharon Goldwater	./anlp-/edit_distance-2x2.pdf	University of Edinburgh
135	Machine Translation: Introduction	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/01.intro.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/01.intro.pdf	Carnegie Mellon University
136	Probability Review	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/02.probability.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/02.probability.pdf	Carnegie Mellon University
137	Lexical Translation Models I	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/04.lexical.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/04.lexical.pdf	Carnegie Mellon University
138	Lexical Translation Models II	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/05.lexical2.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/05.lexical2.pdf	Carnegie Mellon University
139	Noisy Channel Translation	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/06.noisy.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/06.noisy.pdf	Carnegie Mellon University
140	Phrase-based MT I	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/07.pbmt1.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/07.pbmt1.pdf	Carnegie Mellon University
141	Phrase-based MT II	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/08.pbmt2.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/08.pbmt2.pdf	Carnegie Mellon University
142	Evaluation I	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/09.eval1.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/09.eval1.pdf	Carnegie Mellon University
143	Evaluation II	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/10.eval2.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/10.eval2.pdf	Carnegie Mellon University
144	Discriminative Training I	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/11.disc1.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/11.disc1.pdf	Carnegie Mellon University
145	Syntax in MT	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/13.syntax1.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/13.syntax1.pdf	Carnegie Mellon University
146	Syntax Decoding	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/14.decoding1.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/14.decoding1.pdf	Carnegie Mellon University
147	Decoding	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/15.decoding.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/15.decoding.pdf	Carnegie Mellon University
148	System Combination	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/18.syscomb.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/18.syscomb.pdf	Carnegie Mellon University
149	Morphology in MT II	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/19.morph2.pdf	1035	2013	Chris Dyer, Alon Lavie	./cmu-sp2013-11731/19.morph2.pdf	Carnegie Mellon University
150	Example-Based Machine Translation	http://demo.clab.cs.cmu.edu/sp2013-11731/slides/22.ebmt.pdf	1035	2013	Ralf Brown	./cmu-sp2013-11731/22.ebmt.pdf	Carnegie Mellon University
151	Statistical machine learning: Introduction, probability theory	https://trevorcohn.github.io/comp90051-2017/slides/01_intro_prob_theory.pdf	1559	2017	Trevor Cohn	./comp90051-2017-gh-pages/slides/01_intro_prob_theory.pdf	University of Melbourne
152	Probabilistic models and parameter fitting	https://trevorcohn.github.io/comp90051-2017/slides/02_statistical_schools.pdf	1559	2017	Trevor Cohn	./comp90051-2017-gh-pages/slides/02_statistical_schools.pdf	University of Melbourne
